channel_class,merged_file,source_file,job_id,run_id,channel_type,mode,N,sample,n_samples_in_block,orig_s,orig_total,protocol,p,t,status
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,PAR,0.942976,17.5,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,SEQ,0.960041,46.2,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,pQC-CC,0.960041,98.8,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,QC-SupFO,0.960768,17.6,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,QC-QC,0.960799,20.2,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,1,5,1,5,GEN,0.961013,4.5,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,PAR,0.921111,15.7,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,SEQ,0.930324,46.7,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,pQC-CC,0.930324,93.4,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,QC-SupFO,0.933606,17.7,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,QC-QC,0.93365,18.9,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,2,5,2,5,GEN,0.933914,4.5,Solved
channels,2_5.txt,unitary_upper_bound_N2_12181206.out,12181206,20260819_104029_job12181206_unitary_upper_bound_N2,channels,diff,2,3,5,3,5,PAR,0.939121,15.0,Solved
